"geo_id","year","obs_id","composite_index","composite_index_normalized"
"ES-AN","2016","ES-AN_2016",-0.0116879017648595,39.3711678632751
"ES-AR","2016","ES-AR_2016",-0.306570027684694,34.2928982103702
"ES-AS","2016","ES-AS_2016",-0.177137289929741,36.5219052828845
"ES-CB","2016","ES-CB_2016",-0.387615784377117,32.8971804963039
"ES-CE","2016","ES-CE_2016",-0.816697677877998,25.5078090599053
"ES-CL","2016","ES-CL_2016",-0.181462829047531,36.4474136399414
"ES-CM","2016","ES-CM_2016",-0.564424965245367,29.8522868976925
"ES-CN","2016","ES-CN_2016",0.358238351976807,45.7417990513445
"ES-CT","2016","ES-CT_2016",-0.210458086447471,35.9480760308104
"ES-EX","2016","ES-EX_2016",-0.185852871330546,36.3718111651177
"ES-GA","2016","ES-GA_2016",-0.108289775053336,37.7075527492549
"ES-IB","2016","ES-IB_2016",1.29413545648446,61.8592149484167
"ES-MC","2016","ES-MC_2016",-0.34109093320081,33.6984014556874
"ES-MD","2016","ES-MD_2016",0.117137186338852,41.5897103856785
"ES-ML","2016","ES-ML_2016",0.143088529266268,42.0366276643347
"ES-NC","2016","ES-NC_2016",0.0657026811652727,40.7039385338906
"ES-PV","2016","ES-PV_2016",0.233857369103635,43.5997900409542
"ES-RI","2016","ES-RI_2016",-0.526087335246223,30.5125128180722
"ES-VC","2016","ES-VC_2016",0.593902065952424,49.8002474338639
"ES-AN","2017","ES-AN_2017",-0.487291767110513,31.1806250534823
"ES-AR","2017","ES-AR_2017",-0.938621362386673,23.4081180559851
"ES-AS","2017","ES-AS_2017",-0.506038705721621,30.8577773761716
"ES-CB","2017","ES-CB_2017",-0.275364316841647,34.830302822051
"ES-CE","2017","ES-CE_2017",-0.947271371701293,23.2591531783657
"ES-CL","2017","ES-CL_2017",-0.613741943334001,29.0029817306897
"ES-CM","2017","ES-CM_2017",-0.414437622297208,32.4352721147095
"ES-CN","2017","ES-CN_2017",-0.102823200657776,37.8016945653169
"ES-CT","2017","ES-CT_2017",-0.653819796451585,28.3127868109205
"ES-EX","2017","ES-EX_2017",-0.496973111007692,31.0138991973151
"ES-GA","2017","ES-GA_2017",-0.453485997512118,31.7628061989455
"ES-IB","2017","ES-IB_2017",-0.379181410553539,33.0424318386696
"ES-MC","2017","ES-MC_2017",-0.613088074694172,29.0142422343919
"ES-MD","2017","ES-MD_2017",-0.554134231456193,30.0295072732737
"ES-ML","2017","ES-ML_2017",2.09319478839368,75.6200990421791
"ES-NC","2017","ES-NC_2017",-0.201300158733383,36.1057879512901
"ES-PV","2017","ES-PV_2017",-0.870074363447651,24.5885902308377
"ES-RI","2017","ES-RI_2017",-0.715477585527112,27.2509561619765
"ES-VC","2017","ES-VC_2017",-0.353910559476868,33.477630125868
"ES-AN","2018","ES-AN_2018",-1.07619041282685,21.0389926576583
"ES-AR","2018","ES-AR_2018",-0.782390724324883,26.0986212719679
"ES-AS","2018","ES-AS_2018",-1.2809704401758,17.5124031936026
"ES-CB","2018","ES-CB_2018",-0.736305475301663,26.8922716867943
"ES-CE","2018","ES-CE_2018",-0.129817423516756,37.3368174815639
"ES-CL","2018","ES-CL_2018",-0.939414620807284,23.3944570714417
"ES-CM","2018","ES-CM_2018",-0.596350016120431,29.3024942762491
"ES-CN","2018","ES-CN_2018",-0.492402437537116,31.0926123858699
"ES-CT","2018","ES-CT_2018",-0.918058964295056,23.7622304047545
"ES-EX","2018","ES-EX_2018",-1.19042932497967,19.0716438434264
"ES-GA","2018","ES-GA_2018",-0.983568819762691,22.6340619545653
"ES-IB","2018","ES-IB_2018",-0.830625360927025,25.2679554914921
"ES-MC","2018","ES-MC_2018",-0.918801189321784,23.7494482843832
"ES-MD","2018","ES-MD_2018",-0.81622844315761,25.5158899174114
"ES-ML","2018","ES-ML_2018",-0.679481977059177,27.8708492991083
"ES-NC","2018","ES-NC_2018",0.375132158156747,46.0327332779546
"ES-PV","2018","ES-PV_2018",-0.428953370647855,32.1852912652146
"ES-RI","2018","ES-RI_2018",-0.959263114205962,23.0526391285333
"ES-VC","2018","ES-VC_2018",-0.987153149171916,22.5723349468394
"ES-AN","2019","ES-AN_2019",-1.14907426696317,19.7838339616448
"ES-AR","2019","ES-AR_2019",-0.723759366658178,27.1083326724764
"ES-AS","2019","ES-AS_2019",-1.5298168681449,13.2269306189345
"ES-CB","2019","ES-CB_2019",-1.77878996362756,8.9392766581003
"ES-CE","2019","ES-CE_2019",-0.448772642648339,31.8439765543661
"ES-CL","2019","ES-CL_2019",-0.651007922195469,28.3612110945494
"ES-CM","2019","ES-CM_2019",-1.06229579409414,21.2782768137559
"ES-CN","2019","ES-CN_2019",-1.19833147721277,18.9355580777911
"ES-CT","2019","ES-CT_2019",-1.76678339435285,9.14604604499712
"ES-EX","2019","ES-EX_2019",-1.16997141941477,19.4239566893412
"ES-GA","2019","ES-GA_2019",-1.3434384448958,16.4366195337501
"ES-IB","2019","ES-IB_2019",-0.817600540257776,25.4922605467166
"ES-MC","2019","ES-MC_2019",-1.41072841392402,15.2777951167226
"ES-MD","2019","ES-MD_2019",-1.47046368243096,14.249072876198
"ES-ML","2019","ES-ML_2019",-0.737510774295892,26.871514805427
"ES-NC","2019","ES-NC_2019",-2.29787088789835,0
"ES-PV","2019","ES-PV_2019",-1.32450983965494,16.7625957565091
"ES-RI","2019","ES-RI_2019",-0.636629201274267,28.6088321460931
"ES-VC","2019","ES-VC_2019",-1.78558215652693,8.82230589573236
"ES-AN","2020","ES-AN_2020",2.966222015728,90.6548104913798
"ES-AR","2020","ES-AR_2020",3.01169749611441,91.4379598642935
"ES-AS","2020","ES-AS_2020",2.36461335227969,80.2942943733402
"ES-CB","2020","ES-CB_2020",2.80653524403561,87.9047879726319
"ES-CE","2020","ES-CE_2020",2.57894203898175,83.9853246859808
"ES-CL","2020","ES-CL_2020",3.44736512028036,98.9407465037135
"ES-CM","2020","ES-CM_2020",3.50887326069474,100
"ES-CN","2020","ES-CN_2020",1.90793212046865,72.4296249454354
"ES-CT","2020","ES-CT_2020",3.24096836621249,95.3863148155553
"ES-EX","2020","ES-EX_2020",2.83041078032941,88.3159570491888
"ES-GA","2020","ES-GA_2020",3.30434960965255,96.4778256832317
"ES-IB","2020","ES-IB_2020",2.65188621196996,85.2415221543312
"ES-MC","2020","ES-MC_2020",2.90413396576918,89.5855701671981
"ES-MD","2020","ES-MD_2020",3.08838511476397,92.7586245377687
"ES-ML","2020","ES-ML_2020",0.331970953066832,45.2894388605422
"ES-NC","2020","ES-NC_2020",2.28970271954693,79.0042318044407
"ES-PV","2020","ES-PV_2020",2.5587149029984,83.6369860048586
"ES-RI","2020","ES-RI_2020",2.99151584697725,91.0904045282788
"ES-VC","2020","ES-VC_2020",2.83850292096094,88.4553146724017
"ES-AN","2021","ES-AN_2021",1.84051504428921,71.2686115710858
"ES-AR","2021","ES-AR_2021",1.18161497777107,59.9214598857858
"ES-AS","2021","ES-AS_2021",2.02141208870349,74.3839037173413
"ES-CB","2021","ES-CB_2021",1.47052930967344,64.896956041792
"ES-CE","2021","ES-CE_2021",0.980946752770888,56.4656812279848
"ES-CL","2021","ES-CL_2021",1.52092592921641,65.7648540971108
"ES-CM","2021","ES-CM_2021",1.18607164876404,59.9982097972495
"ES-CN","2021","ES-CN_2021",1.0786240733605,58.1478170013213
"ES-CT","2021","ES-CT_2021",2.03020049841584,74.5352520372854
"ES-EX","2021","ES-EX_2021",0.768360050745528,52.804650251153
"ES-GA","2021","ES-GA_2021",0.98427036925836,56.5229184060389
"ES-IB","2021","ES-IB_2021",0.757018725666972,52.6093372704476
"ES-MC","2021","ES-MC_2021",2.46533750992211,82.0289008079429
"ES-MD","2021","ES-MD_2021",1.76845406216878,70.0276238458406
"ES-ML","2021","ES-ML_2021",0.0270211940443692,40.0377909280886
"ES-NC","2021","ES-NC_2021",1.51637421467907,65.6864674070679
"ES-PV","2021","ES-PV_2021",2.17530564169846,77.0341591626799
"ES-RI","2021","ES-RI_2021",1.86118879786662,71.6246416121617
"ES-VC","2021","ES-VC_2021",1.82855244551268,71.0625994157297
"ES-AN","2022","ES-AN_2022",0.0656256418514957,40.7026118125506
"ES-AR","2022","ES-AR_2022",-0.454610569710816,31.7434395423489
"ES-AS","2022","ES-AS_2022",0.152266630491695,42.1946870000064
"ES-CB","2022","ES-CB_2022",-0.986297035650798,22.5870783813564
"ES-CE","2022","ES-CE_2022",-0.733541637197351,26.9398687228198
"ES-CL","2022","ES-CL_2022",-0.718106150254397,27.2056887167435
"ES-CM","2022","ES-CM_2022",-0.490757122585059,31.1209469380726
"ES-CN","2022","ES-CN_2022",0.877666102101111,54.6870485204494
"ES-CT","2022","ES-CT_2022",-0.0611554428271048,38.5192697979155
"ES-EX","2022","ES-EX_2022",0.205990494250924,43.1198847077829
"ES-GA","2022","ES-GA_2022",-0.0528852632518171,38.6616934929097
"ES-IB","2022","ES-IB_2022",-0.966652355708901,22.9253863804553
"ES-MC","2022","ES-MC_2022",-0.00354739759579187,39.5113583721171
"ES-MD","2022","ES-MD_2022",-0.0565066708863773,38.5993279479177
"ES-ML","2022","ES-ML_2022",-0.134196835961582,37.2613980669529
"ES-NC","2022","ES-NC_2022",-0.374791968662876,33.1180239739237
"ES-PV","2022","ES-PV_2022",-1.1257055300527,20.1862752663151
"ES-RI","2022","ES-RI_2022",-0.27012149692726,34.9205912828515
"ES-VC","2022","ES-VC_2022",-0.460299215502541,31.6454733560291
"ES-AN","2023","ES-AN_2023",-0.932385112405268,23.5155147282307
"ES-AR","2023","ES-AR_2023",-0.680612064197053,27.8513876677887
"ES-AS","2023","ES-AS_2023",-0.2684572049667,34.9492526448466
"ES-CB","2023","ES-CB_2023",-0.11732261845116,37.5519949501393
"ES-CE","2023","ES-CE_2023",-0.0671446482583063,38.4161275674686
"ES-CL","2023","ES-CL_2023",-1.04705972103284,21.5406626305133
"ES-CM","2023","ES-CM_2023",-0.437086073356377,32.045235108091
"ES-CN","2023","ES-CN_2023",-1.63277592905876,11.4538361226184
"ES-CT","2023","ES-CT_2023",-0.777322136990105,26.1859092117337
"ES-EX","2023","ES-EX_2023",0.176291909361795,42.6084348465672
"ES-GA","2023","ES-GA_2023",-1.08745269561539,20.8450408922567
"ES-IB","2023","ES-IB_2023",-0.95271643986857,23.1653817286869
"ES-MC","2023","ES-MC_2023",-1.58138792363432,12.338807185738
"ES-MD","2023","ES-MD_2023",-0.639931415415905,28.5519635454258
"ES-ML","2023","ES-ML_2023",-1.19316731737522,19.0244919055163
"ES-NC","2023","ES-NC_2023",-1.05089578414507,21.4746004274255
"ES-PV","2023","ES-PV_2023",-1.02259620386984,21.9619575341113
"ES-RI","2023","ES-RI_2023",-0.679501887331011,27.8705064172571
"ES-VC","2023","ES-VC_2023",-1.3361654827143,16.5618697944021
"ES-AN","2024","ES-AN_2024",-1.10920939916306,20.470360985739
"ES-AR","2024","ES-AR_2024",-0.322815692121722,34.0131258625397
"ES-AS","2024","ES-AS_2024",-0.549484958048385,30.1095740592183
"ES-CB","2024","ES-CB_2024",-0.331780885580774,33.8587330870077
"ES-CL","2024","ES-CL_2024",-0.53614319236685,30.3393373368852
"ES-CM","2024","ES-CM_2024",-1.00164750668409,22.3227224765588
"ES-CN","2024","ES-CN_2024",-0.787793599543747,26.0055764420149
"ES-CT","2024","ES-CT_2024",-1.0323200591489,21.7944995743626
"ES-EX","2024","ES-EX_2024",-0.555703991344994,30.0024738816065
"ES-GA","2024","ES-GA_2024",-0.203818295351029,36.0624222276899
"ES-IB","2024","ES-IB_2024",-0.93269244956992,23.5102219659393
"ES-MC","2024","ES-MC_2024",-0.739682346592882,26.8341173888813
"ES-MD","2024","ES-MD_2024",-1.26879856951155,17.7220192943429
"ES-NC","2024","ES-NC_2024",-0.500199280309852,30.9583401917932
"ES-PV","2024","ES-PV_2024",-0.533130055323409,30.3912276383404
"ES-RI","2024","ES-RI_2024",-1.01962047614904,22.0132035963563
"ES-VC","2024","ES-VC_2024",-0.492555622423291,31.0899743346272
"ESP","2016","ESP_2016",0.065929491919947,40.7078445223218
"ESP","2017","ESP_2017",-0.382073640740734,32.9926237170582
"ESP","2018","ESP_2018",-1.07573460271841,21.0468423251616
"ESP","2019","ESP_2019",-1.42203558083489,15.083070385935
"ESP","2020","ESP_2020",3.13588382339266,93.5766166416605
"ESP","2021","ESP_2021",1.70711756930236,68.9713263528423
"ESP","2022","ESP_2022",-0.199702198303982,36.1333069944666
"ESP","2023","ESP_2023",-1.17489930440411,19.3390918345579
"ESP","2024","ESP_2024",-0.737855190444593,26.8655834928034
